https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume EUR
1535414400,2018-08-28 00:00:00,BTC/EUR,5912.87,6100.00,5868.64,6054.61,1691.41254771,10240843.325490441
1535328000,2018-08-27 00:00:00,BTC/EUR,5752.43,5935.00,5717.21,5918.20,1372.84383068,8124764.358730377
1535241600,2018-08-26 00:00:00,BTC/EUR,5792.51,5823.00,5657.94,5761.14,746.17934459,4298843.669291233
1535155200,2018-08-25 00:00:00,BTC/EUR,5755.79,5845.00,5721.35,5790.34,655.04502899,3792933.4331619567
1535068800,2018-08-24 00:00:00,BTC/EUR,5661.95,5782.57,5550.32,5748.94,1021.89555676,5874816.2420798335
1534982400,2018-08-23 00:00:00,BTC/EUR,5497.12,5689.00,5483.46,5667.62,1410.75230896,7995608.001307875
1534896000,2018-08-22 00:00:00,BTC/EUR,5602.38,5936.03,5377.70,5498.38,2796.28086095,15375014.76023026
1534809600,2018-08-21 00:00:00,BTC/EUR,5458.57,5630.00,5437.01,5598.51,1305.87522699,7310955.517055786
1534723200,2018-08-20 00:00:00,BTC/EUR,5676.63,5709.00,5406.73,5458.68,1764.43088196,9631463.566737413
1534636800,2018-08-19 00:00:00,BTC/EUR,5602.69,5725.00,5530.01,5675.04,957.38096848,5433175.291362739
1534550400,2018-08-18 00:00:00,BTC/EUR,5763.53,5796.00,5508.13,5604.78,1073.31330571,6015684.949577293
1534464000,2018-08-17 00:00:00,BTC/EUR,5565.52,5775.00,5534.58,5760.88,1569.42921401,9041293.37040593
1534377600,2018-08-16 00:00:00,BTC/EUR,5537.47,5717.32,5482.00,5565.49,1796.27016714,9997123.652515998
1534291200,2018-08-15 00:00:00,BTC/EUR,5473.77,5850.00,5450.78,5535.05,2652.67993475,14682716.072837988
1534204800,2018-08-14 00:00:00,BTC/EUR,5494.66,5499.99,5150.00,5473.77,3321.42195150,18180699.835462157
1534118400,2018-08-13 00:00:00,BTC/EUR,5543.54,5750.00,5401.00,5494.70,1877.93416049,10318684.831644403
1534032000,2018-08-12 00:00:00,BTC/EUR,5482.04,5709.62,5423.55,5550.52,1562.05601288,8670223.140610699
1533945600,2018-08-11 00:00:00,BTC/EUR,5398.81,5715.00,5280.00,5479.36,1461.09992164,8005892.466637351
1533859200,2018-08-10 00:00:00,BTC/EUR,5688.74,5715.10,5284.92,5394.90,2324.89414456,12542571.420486743
1533772800,2018-08-09 00:00:00,BTC/EUR,5415.00,5766.75,5350.00,5689.96,2050.17321606,11665403.592452757
1533686400,2018-08-08 00:00:00,BTC/EUR,5800.91,5800.91,5280.02,5414.39,2646.28241172,14328005.02719265
1533600000,2018-08-07 00:00:00,BTC/EUR,6000.47,6166.00,5750.22,5789.70,1719.89971587,9957703.384972539
1533513600,2018-08-06 00:00:00,BTC/EUR,6076.01,6182.00,5917.88,6006.44,1082.85342680,6504094.136868592
1533427200,2018-08-05 00:00:00,BTC/EUR,6058.13,6126.19,5942.68,6079.47,730.88497067,4443393.252639146
1533340800,2018-08-04 00:00:00,BTC/EUR,6409.35,6471.15,5988.88,6059.55,986.65473576,5978683.7040745085
1533254400,2018-08-03 00:00:00,BTC/EUR,6504.62,6507.00,6277.00,6407.70,2072.81272986,13281962.129123922
1533168000,2018-08-02 00:00:00,BTC/EUR,6521.64,6599.99,6416.90,6504.57,749.46630343,4874956.033301675
1533081600,2018-08-01 00:00:00,BTC/EUR,6615.59,6625.37,6380.00,6521.76,1492.15214059,9731458.144414239
1532995200,2018-07-31 00:00:00,BTC/EUR,6975.00,6975.00,6530.88,6612.77,1758.91195768,11631280.226387573
1532908800,2018-07-30 00:00:00,BTC/EUR,7039.81,7098.81,6710.10,6973.46,1447.36136549,10093116.587789895
1532822400,2018-07-29 00:00:00,BTC/EUR,7067.58,7107.38,6965.05,7040.66,373.46048983,2629408.3323264876
1532736000,2018-07-28 00:00:00,BTC/EUR,7010.11,7080.00,6902.01,7066.34,390.11591454,2756691.6915505836
1532649600,2018-07-27 00:00:00,BTC/EUR,6809.10,7099.34,6699.00,7007.34,1307.01955196,9158730.387231385
