Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
EXCHANGE,Current,9/23/2024 10:32,9/23/2024 10:32,xxx,-3,0,EUR,COMPLETED,180
CARD_PAYMENT,Current,9/22/2024 17:04,9/23/2024 10:45,xxx,-21,0,EUR,COMPLETED,159
CARD_PAYMENT,Current,9/22/2024 16:34,9/23/2024 10:45,xxx,"-24,0",0,EUR,COMPLETED,134
CARD_PAYMENT,Current,9/22/2024 16:58,9/23/2024 12:49,xxx,-32,0,EUR,COMPLETED,102
EXCHANGE,Current,9/23/2024 21:31,9/23/2024 21:31,xxx,67,0,EUR,COMPLETED,169
CARD_PAYMENT,Current,9/23/2024 9:08,9/24/2024 10:37,xxx,-21,0,EUR,COMPLETED,148
CARD_PAYMENT,Current,9/23/2024 7:25,9/24/2024 12:27,xxx,"-46,0",0,EUR,COMPLETED,101
CARD_PAYMENT,Current,9/23/2024 10:32,9/24/2024 12:28,xxx,-24,0,EUR,COMPLETED,78
EXCHANGE,Current,9/26/2024 2:25,9/26/2024 2:25,xxx,-3,0,EUR,COMPLETED,75
CARD_PAYMENT,Current,9/26/2024 2:25,9/27/2024 12:26,xxx,-28,0,EUR,COMPLETED,46
EXCHANGE,Current,10/10/2024 12:05,10/10/2024 12:05,xxx,201,0,EUR,COMPLETED,247
TRANSFER,Current,10/20/2024 19:43,10/20/2024 19:43,xxx,"82,0",0,EUR,COMPLETED,329
EXCHANGE,Current,10/20/2024 19:44,10/20/2024 19:44,xxx,"38,0",0,EUR,COMPLETED,367
EXCHANGE,Current,10/20/2024 19:50,10/20/2024 19:50,xxx,-4,0,EUR,COMPLETED,363
CARD_PAYMENT,Current,10/20/2024 19:50,10/21/2024 11:36,xxx,"-360,0",0,EUR,COMPLETED,2
EXCHANGE,Current,10/22/2024 20:00,10/22/2024 20:00,xxx,350,0,EUR,COMPLETED,352
EXCHANGE,Current,10/22/2024 20:02,10/22/2024 20:02,xxx,-4,0,EUR,COMPLETED,348
CARD_PAYMENT,Current,10/22/2024 20:02,10/23/2024 11:43,xxx,"-326,0",0,EUR,COMPLETED,23
EXCHANGE,Current,10/24/2024 10:26,10/24/2024 10:26,xxx,"12,0",0,EUR,COMPLETED,35
EXCHANGE,Current,10/26/2024 2:23,10/26/2024 2:23,xxx,-3,0,EUR,COMPLETED,32
CARD_PAYMENT,Current,10/26/2024 2:23,10/26/2024 9:54,xxx,-28,0,EUR,COMPLETED,4
TOPUP,Current,10/27/2024 17:16,10/27/2024 17:16,xxx,2035,0,EUR,COMPLETED,2038
CARD_PAYMENT,Current,11/26/2024 1:22,11/26/2024 12:54,xxx,-28,0,EUR,COMPLETED,2010
TOPUP,Current,11/29/2024 5:14,11/29/2024 5:14,xxx,36,0,EUR,COMPLETED,2046
TRANSFER,Current,12/20/2024 8:12,12/20/2024 8:12,xxx,-125,0,EUR,COMPLETED,1921
CARD_PAYMENT,Current,12/20/2024 8:08,12/21/2024 11:04,xxx,-21,0,EUR,COMPLETED,1900
CARD_PAYMENT,Current,12/26/2024 1:21,12/26/2024 10:53,xxx,-28,0,EUR,COMPLETED,1872
TOPUP,Current,1/29/2025 19:49,1/29/2025 19:49,xxx,8750,0,CZK,COMPLETED,9580
TOPUP,Current,2/13/2025 9:35,2/13/2025 9:35,xxx,8750,0,CZK,COMPLETED,18330
CARD_PAYMENT,Current,2/25/2025 3:14,2/25/2025 10:25,xxx,-713,0,CZK,COMPLETED,17617
